Date,repo
01-07-2012,0.09
01-08-2012,0.09
01-09-2012,0.09
01-10-2012,0.09
01-11-2012,0.09
01-12-2012,0.09
01-01-2013,0.09
01-02-2013,0.0875
01-03-2013,0.085
01-04-2013,0.085
01-05-2013,0.0825
01-06-2013,0.0825
01-07-2013,0.1025
01-08-2013,0.1025
01-09-2013,0.095
01-10-2013,0.0875
01-11-2013,0.0875
01-12-2013,0.0875
01-01-2014,0.09
01-02-2014,0.09
01-03-2014,0.09
01-04-2014,0.09
01-05-2014,0.09
01-06-2014,0.09
01-07-2014,0.09
01-08-2014,0.09
01-09-2014,0.09
01-10-2014,0.09
01-11-2014,0.09
01-12-2014,0.09
01-01-2015,0.0875
01-02-2015,0.0875
01-03-2015,0.085
01-04-2015,0.085
01-05-2015,0.085
01-06-2015,0.0825
01-07-2015,0.0825
01-08-2015,0.0825
01-09-2015,0.0825
01-10-2015,0.0775
01-11-2015,0.0775
01-12-2015,0.0775
01-01-2016,0.0775
01-02-2016,0.0775
01-03-2016,0.0775
01-04-2016,0.07
01-05-2016,0.07
01-06-2016,0.07
01-07-2016,0.07
01-08-2016,0.07
01-09-2016,0.07
01-10-2016,0.0675
01-11-2016,0.0675
01-12-2016,0.0675
01-01-2017,0.0675
01-02-2017,0.0675
01-03-2017,0.0675
01-04-2017,0.065
01-05-2017,0.065
01-06-2017,0.065
01-07-2017,0.065
01-08-2017,0.0625
01-09-2017,0.0625
01-10-2017,0.0625
01-11-2017,0.0625
01-12-2017,0.0625
01-01-2018,0.0625
01-02-2018,0.0625
01-03-2018,0.0625
01-04-2018,0.0625
01-05-2018,0.0625
01-06-2018,0.065
01-07-2018,0.065
01-08-2018,0.0675
01-09-2018,0.0675
01-10-2018,0.0675
01-11-2018,0.0675
01-12-2018,0.0675
01-01-2019,0.0675
01-02-2019,0.065
01-03-2019,0.065
01-04-2019,0.0625
01-05-2019,0.0625
01-06-2019,0.06
01-07-2019,0.06
01-08-2019,0.0565
01-09-2019,0.0565
01-10-2019,0.054
01-11-2019,0.054
01-12-2019,0.054
01-01-2020,0.054
01-02-2020,0.054
01-03-2020,0.0465
01-04-2020,0.0465
01-05-2020,0.0425
01-06-2020,0.0425
01-07-2020,0.0425
01-08-2020,0.0425
01-09-2020,0.0425
01-10-2020,0.0425
01-11-2020,0.0425
01-12-2020,0.0425
01-01-2021,0.0425
01-02-2021,0.0425
01-03-2021,0.0425
01-04-2021,0.0425
01-05-2021,0.0425
01-06-2021,0.0425
01-07-2021,0.0425
01-08-2021,0.0425
01-09-2021,0.0425
01-10-2021,0.0425
01-11-2021,0.0425
01-12-2021,0.0425
01-01-2022,0.0425
01-02-2022,0.0425
01-03-2022,0.0425
01-04-2022,0.0425
01-05-2022,0.0465
01-06-2022,0.0515
01-07-2022,0.0515
01-08-2022,0.054
01-09-2022,0.054
01-10-2022,0.059
01-11-2022,0.059
01-12-2022,0.0625
01-01-2023,0.0625
01-02-2023,0.0625
01-03-2023,0.065
01-04-2023,0.065
01-05-2023,0.065
01-06-2023,0.065
01-07-2023,0.065
01-08-2023,0.065
01-09-2023,0.065
01-10-2023,0.065
01-11-2023,0.065
01-12-2023,0.065
01-01-2024,0.065
01-02-2024,0.065
01-03-2024,0.065
01-04-2024,0.065
01-05-2024,0.065
01-06-2024,0.065
01-07-2024,0.065
01-08-2024,0.065
01-09-2024,0.0625
01-10-2024,0.0625
01-11-2024,0.0625
01-12-2024,0.06
01-01-2025,0.06
01-02-2025,0.055
01-03-2025,0.055
01-04-2025,0.055
01-05-2025,0.055
01-06-2025,0.055
,0.0525
