Date,ind_cpi
01-03-2015,97.16
01-04-2015,97.93
01-05-2015,98.69
01-06-2015,99.84
01-07-2015,100.61
01-08-2015,100.99
01-09-2015,101.75
01-10-2015,102.90
01-11-2015,103.28
01-12-2015,102.90
01-01-2016,102.90
01-02-2016,102.14
01-03-2016,102.52
01-04-2016,103.67
01-05-2016,105.20
01-06-2016,105.96
01-07-2016,107.11
01-08-2016,106.34
01-09-2016,105.96
01-10-2016,106.34
01-11-2016,105.96
01-12-2016,105.20
01-01-2017,104.81
01-02-2017,104.81
01-03-2017,105.20
01-04-2017,105.96
01-05-2017,106.34
01-06-2017,107.11
01-07-2017,109.02
01-08-2017,109.02
01-09-2017,109.02
01-10-2017,109.79
01-11-2017,110.17
01-12-2017,109.40
01-01-2018,110.17
01-02-2018,109.79
01-03-2018,109.79
01-04-2018,110.17
01-05-2018,110.55
01-06-2018,111.32
01-07-2018,115.14
01-08-2018,115.14
01-09-2018,115.14
01-10-2018,115.52
01-11-2018,115.52
01-12-2018,115.14
01-01-2019,117.44
01-02-2019,117.44
01-03-2019,118.20
01-04-2019,119.35
01-05-2019,120.11
01-06-2019,120.88
01-07-2019,122.03
01-08-2019,122.41
01-09-2019,123.17
01-10-2019,124.32
01-11-2019,125.47
01-12-2019,126.24
01-01-2020,126.24
01-02-2020,125.47
01-03-2020,124.71
01-04-2020,125.85
01-05-2020,126.24
01-06-2020,127.00
01-07-2020,128.53
01-08-2020,129.30
01-09-2020,130.12
01-10-2020,131.66
01-11-2020,132.10
01-12-2020,130.89
01-01-2021,130.23
01-02-2021,131.11
01-03-2021,131.77
01-04-2021,132.32
01-05-2021,132.87
01-06-2021,134.08
01-07-2021,135.30
01-08-2021,135.52
01-09-2021,135.85
01-10-2021,137.61
01-11-2021,138.49
01-12-2021,138.16
01-01-2022,137.83
01-02-2022,137.72
01-03-2022,138.82
01-04-2022,140.69
01-05-2022,142.13
01-06-2022,142.35
01-07-2022,143.12
01-08-2022,143.45
01-09-2022,144.66
01-10-2022,145.98
01-11-2022,145.98
01-12-2022,145.76
01-01-2023,146.31
01-02-2023,146.20
01-03-2023,146.86
01-04-2023,147.86
01-05-2023,148.41
01-06-2023,150.28
01-07-2023,153.92
01-08-2023,153.37
01-09-2023,151.49
01-10-2023,152.48
01-11-2023,153.25
01-12-2023,152.92
01-01-2024,153.03
01-02-2024,153.37
01-03-2024,153.03
01-04-2024,153.59
01-05-2024,154.14
01-06-2024,155.79
01-07-2024,157.22
01-08-2024,157.11
01-09-2024,157.88
01-10-2024,159.20
01-11-2024,159.20
01-12-2024,158.32
01-01-2025,157.77
01-02-2025,157.33
01-03-2025,157.55
