Date,us_cpi
01-02-2016,237.34
01-03-2016,238.08
01-04-2016,238.99
01-05-2016,239.56
01-06-2016,240.22
01-07-2016,240.10
01-08-2016,240.55
01-09-2016,241.18
01-10-2016,241.74
01-11-2016,242.03
01-12-2016,242.64
01-01-2017,243.62
01-02-2017,244.01
01-03-2017,243.89
01-04-2017,244.19
01-05-2017,244.00
01-06-2017,244.16
01-07-2017,244.24
01-08-2017,245.18
01-09-2017,246.44
01-10-2017,246.63
01-11-2017,247.28
01-12-2017,247.81
01-01-2018,248.86
01-02-2018,249.53
01-03-2018,249.58
01-04-2018,250.23
01-05-2018,250.79
01-06-2018,251.02
01-07-2018,251.21
01-08-2018,251.66
01-09-2018,252.18
01-10-2018,252.77
01-11-2018,252.59
01-12-2018,252.77
01-01-2019,252.56
01-02-2019,253.32
01-03-2019,254.28
01-04-2019,255.23
01-05-2019,255.30
01-06-2019,255.21
01-07-2019,255.80
01-08-2019,256.04
01-09-2019,256.43
01-10-2019,257.16
01-11-2019,257.88
01-12-2019,258.63
01-01-2020,259.13
01-02-2020,259.25
01-03-2020,258.08
01-04-2020,256.03
01-05-2020,255.80
01-06-2020,257.04
01-07-2020,258.35
01-08-2020,259.32
01-09-2020,260.00
01-10-2020,260.32
01-11-2020,260.91
01-12-2020,262.05
01-01-2021,262.69
01-02-2021,263.58
01-03-2021,264.96
01-04-2021,266.61
01-05-2021,268.38
01-06-2021,270.65
01-07-2021,271.90
01-08-2021,272.68
01-09-2021,273.91
01-10-2021,276.55
01-11-2021,278.92
01-12-2021,280.85
01-01-2022,282.54
01-02-2022,284.50
01-03-2022,287.67
01-04-2022,288.56
01-05-2022,291.30
01-06-2022,294.96
01-07-2022,294.91
01-08-2022,295.10
01-09-2022,296.35
01-10-2022,298.01
01-11-2022,298.79
01-12-2022,298.83
01-01-2023,300.42
01-02-2023,301.45
01-03-2023,301.82
01-04-2023,302.85
01-05-2023,303.33
01-06-2023,304.01
01-07-2023,304.61
01-08-2023,306.08
01-09-2023,307.28
01-10-2023,307.70
01-11-2023,308.15
01-12-2023,308.74
01-01-2024,309.70
01-02-2024,310.97
01-03-2024,312.35
01-04-2024,313.02
01-05-2024,313.18
01-06-2024,313.04
01-07-2024,313.57
01-08-2024,314.06
01-09-2024,314.73
01-10-2024,315.63
01-11-2024,316.53
01-12-2024,317.60
01-01-2025,318.96
01-02-2025,319.68
01-03-2025,319.79
01-04-2025,320.30
01-05-2025,320.62
01-06-2025,321.44
01-07-2025,322.17
01-08-2025,323.29
01-09-2025,324.25
01-10-2025,
01-11-2025,325.063
01-12-2025,326.031
01-01-2026,326.588
01-02-2026,327.46
