Date,Rate
01-03-2016,66.70
01-04-2016,66.42190476190477
01-05-2016,66.88952380952381
01-06-2016,67.26545454545455
01-07-2016,67.16
01-08-2016,66.90347826086956
01-09-2016,66.71380952380953
01-10-2016,66.74
01-11-2016,67.64
01-12-2016,67.81
01-01-2017,68.04736842105264
01-02-2017,66.97263157894737
01-03-2017,65.80
01-04-2017,64.54
01-05-2017,64.41954545454546
01-06-2017,64.44818181818181
01-07-2017,64.42
01-08-2017,63.96826086956521
01-09-2017,64.47749999999999
01-10-2017,65.03571428571429
01-11-2017,64.84349999999999
01-12-2017,64.24449999999999
01-01-2018,63.64523809523809
01-02-2018,64.43
01-03-2018,65.04545454545455
01-04-2018,65.67285714285715
01-05-2018,67.51
01-06-2018,67.78999999999999
01-07-2018,68.68666666666667
01-08-2018,69.63173913043478
01-09-2018,72.28
01-10-2018,73.56090909090909
01-11-2018,71.74
01-12-2018,70.83311111111112
01-01-2019,70.71000000000001
01-02-2019,71.17
01-03-2019,69.49
01-04-2019,69.40681818181818
01-05-2019,69.78272727272727
01-06-2019,69.39
01-07-2019,68.74
01-08-2019,71.18909090909091
01-09-2019,71.31
01-10-2019,71.00863636363637
01-11-2019,71.49
01-12-2019,71.15666666666667
01-01-2020,71.27904761904762
01-02-2020,71.52947368421053
01-03-2020,74.54818181818182
01-04-2020,76.16818181818182
01-05-2020,75.66
01-06-2020,75.70772727272727
01-07-2020,74.92863636363637
01-08-2020,74.57
01-09-2020,73.52333333333334
01-10-2020,73.56476190476191
01-11-2020,74.23111111111112
01-12-2020,73.61952380952381
01-01-2021,73.11055555555555
01-02-2021,72.80526315789473
01-03-2021,72.82
01-04-2021,74.51863636363636
01-05-2021,73.21
01-06-2021,73.57818181818182
01-07-2021,74.53904761904762
01-08-2021,74.11545454545454
01-09-2021,73.63571428571429
01-10-2021,74.92
01-11-2021,74.48
01-12-2021,75.39
01-01-2022,74.41
01-02-2022,74.96947368421053
01-03-2022,76.19
01-04-2022,76.17190476190476
01-05-2022,77.29333333333334
01-06-2022,78.09
01-07-2022,79.59
01-08-2022,79.50652173913043
01-09-2022,80.25380952380952
01-10-2022,82.29
01-11-2022,81.68050000000001
01-12-2022,82.47380952380952
01-01-2023,81.74
01-02-2023,82.59947368421052
01-03-2023,82.26652173913044
01-04-2023,81.97
01-05-2023,82.29772727272727
01-06-2023,82.23
01-07-2023,82.16
01-08-2023,82.81217391304348
01-09-2023,83.07000000000001
01-10-2023,83.21619047619048
01-11-2023,83.26599999999999
01-12-2023,83.25399999999999
01-01-2024,83.11190476190475
01-02-2024,82.95
01-03-2024,83.02142857142857
01-04-2024,83.39681818181818
01-05-2024,83.38727272727273
01-06-2024,83.46
01-07-2024,83.58954545454546
01-08-2024,83.88545454545455
01-09-2024,83.79
01-10-2024,84.00500000000001
01-11-2024,84.33263157894737
01-12-2024,84.96857142857142
01-01-2025,86.26523809523809
01-02-2025,87.06368421052632
01-03-2025,86.52142857142857
01-04-2025,85.57681818181818
01-05-2025,85.24619047619048
01-06-2025,85.88
01-07-2025,86.17136363636364
01-08-2025,87.56952380952382
01-09-2025,88.32142857142857
01-10-2025,88.37
01-11-2025,88.84444444444445
01-12-2025,90.04
01-01-2026,90.90
01-02-2026,90.74578947368421
01-03-2026,91.92
